,mission_id,geometry
467,ap068520,POINT (121.334896 59.460858)
468,ap069193,POINT (126.395244 44.002652)
469,ap069478,POINT (126.893536 45.259457)
470,ap075728,POINT (143.17048 52.506064)
471,ap070158,POINT (127.84425 54.6331)
472,ap067866,POINT (119.309163 59.498603)
473,ap069257,POINT (126.61309 48.62679)
474,ap075637,POINT (142.848413 49.755209)
475,ap070347,POINT (128.47338 50.8937)
476,ap071007,POINT (130.915318 52.495787)
477,ap067611,POINT (117.098999 50.223801)
478,ap075104,POINT (140.87415 53.08422)
479,ap073244,POINT (138.0313 61.1431)
480,ap069099,POINT (125.98141 52.78225)
481,ap067680,POINT (117.635002 62.185001)
482,ap071332,POINT (132.61892 47.92518)
483,ap071508,POINT (133.335 45.181713)
484,ap070462,POINT (128.8577 54.71275)
485,ap067167,POINT (114.034 53.6195)
486,ap071305,POINT (132.5275 57.451667)
487,ap067943,POINT (119.851098 59.978294)
488,ap068726,POINT (122.768662 47.865942)
489,ap070021,POINT (127.35997 50.64091)
490,ap071712,POINT (134.172 47.33582)
491,ap075453,POINT (142.174682 50.878037)
492,ap071303,POINT (132.52615 47.68483)
493,ap075155,POINT (141.039001 45.455002)
494,ap067590,POINT (116.939382 48.575585)
495,ap075323,POINT (141.648231 45.437919)
496,ap070846,POINT (130.009923 48.981741)
497,ap070339,POINT (128.455903 54.653452)
498,ap071334,POINT (132.62776 47.75486)
499,ap075817,POINT (143.53256 44.25999)
500,ap070437,POINT (128.720001 51.263302)
501,ap071484,POINT (133.24821 45.49753)
502,ap072032,POINT (135.40866 55.01798)
503,ap067755,POINT (118.269997 56.913334)
504,ap068843,POINT (124.04779 60.58802)
505,ap068217,POINT (120.919998 53.792)
506,ap067917,POINT (119.693685 49.164182)
507,ap067853,POINT (119.1884 50.09873)
508,ap068527,POINT (121.3825 50.700277)
509,ap071103,POINT (131.39497 47.6144)
510,ap069171,POINT (126.31416 51.58833)
511,ap071814,POINT (134.66683 47.88957)
512,ap075615,POINT (142.7426 50.19164)
513,ap070453,POINT (128.80769 49.54472)
514,ap070332,POINT (128.445007 51.169997)
515,ap071766,POINT (134.444191 57.731361)
516,ap071204,POINT (132.124 44.449)
517,ap069239,POINT (126.56647 51.85303)
518,ap067786,POINT (118.59136 49.9647)
519,ap073144,POINT (137.673568 45.84126)
520,ap069100,POINT (125.985031 63.689242)
521,ap068837,POINT (123.98836 53.45682)
522,ap069017,POINT (125.54296 63.371467)
523,ap072527,POINT (135.64066 47.75029)
524,ap074953,POINT (140.449378 52.381041)
525,ap068609,POINT (121.693336 63.756668)
526,ap075494,POINT (142.3015 60.1012)
527,ap071520,POINT (133.36596 44.20964)
528,ap071042,POINT (131.05795 47.67674)
529,ap071244,POINT (132.302213 50.871569)
530,ap072639,POINT (136.00023 44.45472)
531,ap069881,POINT (127.090972 53.687023)
532,ap069197,POINT (126.421423 44.829507)
533,ap069504,POINT (126.90684 51.20629)
534,ap072134,POINT (135.490005 44.558748)
535,ap075730,POINT (143.173004 63.243)
536,ap070427,POINT (128.69746 49.6168)
537,ap073113,POINT (137.503174 58.678982)
538,ap073779,POINT (139.49783 57.35506)
539,ap075639,POINT (142.859672 49.736042)
540,ap074898,POINT (140.32358 48.97784)
541,ap071979,POINT (135.223477 48.395946)
542,ap072005,POINT (135.308905 60.858792)
543,ap074774,POINT (140.035348 48.925067)
544,ap071083,POINT (131.259886 44.014649)
545,ap075240,POINT (141.327852 44.423999)
546,ap067762,POINT (118.336998 63.294998)
547,ap069058,POINT (125.77354 46.12779)
548,ap075538,POINT (142.451798 44.349287)
549,ap075613,POINT (142.72854 46.92211)
550,ap072724,POINT (136.300003 50.033298)
551,ap071541,POINT (133.46271 49.21613)
552,ap069221,POINT (126.512203 63.568351)
553,ap071382,POINT (132.885921 44.612076)
554,sp003707,POINT (143.35 44.35)
555,sp003693,POINT (142.05 47.05)
556,sp003694,POINT (142.066667 49.166667)
557,sp003696,POINT (142.133333 50.9)
558,sp003701,POINT (142.766667 46.616667)
559,sp003695,POINT (142.1 50.733333)
560,sp003704,POINT (143.2 59.366667)
561,sp003702,POINT (143 53.55)
562,sp003680,POINT (141.516667 52.216667)
563,sp003667,POINT (140.783333 51.466667)
564,sp003657,POINT (140.268056 48.973611)
565,sp003692,POINT (142.033333 49.083333)
566,sp003658,POINT (140.283333 49.083333)
567,sp003703,POINT (143.133333 49.216667)
568,sp003700,POINT (142.5 53.583333)
569,sp003688,POINT (141.866667 46.666667)
570,sp003697,POINT (142.133333 49.45)
571,sp003665,POINT (140.733333 53.133333)
572,sp003708,POINT (143.55 52.7)
573,ip002545,POINT (141.218767 46.249305)
574,ip002547,POINT (141.410806 44.436065)
575,ip002546,POINT (141.31584 44.425949)
576,ap004439,POINT (-118.54167 36.07365)
577,ap006117,POINT (-116.107035 35.143373)
578,ap003752,POINT (-119.995003 38.893902)
579,ap004866,POINT (-118.23636 34.054704)
580,ap003450,POINT (-120.744003 35.814999)
581,ap002859,POINT (-122.00925 39.29623)
582,ap001921,POINT (-123.265999 39.790199)
583,ap002517,POINT (-122.464996 48.520901)
584,ap002574,POINT (-122.383003 42.110199)
585,ap002673,POINT (-122.272003 41.263199)
586,ap001924,POINT (-123.259003 44.421902)
587,ap002470,POINT (-122.515229 45.764469)
588,ap004305,POINT (-118.856117 35.362732)
589,ap005609,POINT (-117.146004 34.0853)
590,ap003620,POINT (-120.36211 35.30181)
591,ap006718,POINT (-114.602305 33.604879)
592,ap002024,POINT (-123.087997 48.121799)
593,ap002611,POINT (-122.333837 47.606091)
594,ap003498,POINT (-120.633874 47.151669)
595,ap002430,POINT (-122.56224 45.47075)
596,ap003803,POINT (-119.851625 34.01888)
597,ap004777,POINT (-118.259556 34.046397)
598,ap004539,POINT (-118.431185 34.065877)
599,ap002014,POINT (-123.110915 48.088404)
600,ap002809,POINT (-122.0969 42.03567)
601,ap003331,POINT (-121.052821 37.708008)
602,ap002757,POINT (-122.17755 37.4346)
603,ap003130,POINT (-121.442001 37.688999)
604,ap003592,POINT (-120.42927 39.63915)
605,ap002313,POINT (-122.71525 45.56286)
606,ap001780,POINT (-123.71239 38.93089)
607,ap000269,POINT (-158.22585 21.52936)
608,ap003529,POINT (-120.56011 46.3793)
609,ap005950,POINT (-116.473357 33.000601)
610,ap003499,POINT (-120.63161 48.91657)
611,ap001768,POINT (-123.78651 40.06638)
612,ap002492,POINT (-122.49875 37.49699)
613,ap005401,POINT (-117.414001 46.8587)
614,ap001765,POINT (-123.799621 39.431876)
615,ap006797,POINT (-114.431999 34.528805)
616,ap003344,POINT (-121.014999 37.9352)
617,ap002052,POINT (-123.05127 38.31283)
618,ap003544,POINT (-120.524002 44.2122)
619,ap005457,POINT (-117.321925 47.682899)
620,ap004528,POINT (-118.436871 34.060175)
621,ap002433,POINT (-122.558429 45.413976)
622,ap003245,POINT (-121.228996 45.145699)
623,ap002122,POINT (-122.955356 46.111395)
624,ap001925,POINT (-123.259003 44.839199)
625,ap002595,POINT (-122.347068 45.354759)
626,ap001744,POINT (-123.904999 46.016499)
627,ap004032,POINT (-119.40112 35.05323)
628,ap003677,POINT (-120.200996 44.749901)
629,ap002541,POINT (-122.431537 47.08663)
630,ap001794,POINT (-123.63596 40.9502)
631,ap002804,POINT (-122.105003 47.908199)
632,ap002128,POINT (-122.952003 44.046799)
